UID,国名,国名（記号）,金,銀,銅,合計
1,アメリカ合衆国,(USA),46,37,38,121
2,イギリス,(GBR),27,23,17,67
3,中国,(CHN),26,18,26,70
4,ロシア,(RUS),19,18,19,56
5,ドイツ,(GER),17,10,15,42
6,日本,(JPN),12,8,21,41
7,フランス,(FRA),10,18,14,42
8,韓国,(KOR),9,3,9,21
9,イタリア,(ITA),8,12,8,28
10,オーストラリア,(AUS),8,11,10,29
11,オランダ,(NED),8,7,4,19
12,ハンガリー,(HUN),8,3,4,15
13,ブラジル,(BRA),7,6,6,19
14,スペイン,(ESP),7,4,6,17
15,ケニア,(KEN),6,6,1,13
16,ジャマイカ,(JAM),6,3,2,11
17,クロアチア,(CRO),5,3,2,10
18,キューバ,(CUB),5,2,4,11
19,ニュージーランド,(NZL),4,9,5,18
20,カナダ,(CAN),4,3,15,22
21,ウズベキスタン,(UZB),4,2,7,13
22,カザフスタン,(KAZ),3,5,9,17
23,コロンビア,(COL),3,2,3,8
24,スイス,(SUI),3,2,2,7
25,イラン,(IRI),3,1,4,8
26,ギリシャ,(GRE),3,1,2,6
27,アルゼンチン,(ARG),3,1,0,4
28,デンマーク,(DEN),2,6,7,15
29,スウェーデン,(SWE),2,6,3,11
30,南アフリカ,(RSA),2,6,2,10
31,ウクライナ,(UKR),2,5,4,11
32,セルビア,(SRB),2,4,2,8
33,ポーランド,(POL),2,3,6,11
34,北朝鮮,(PRK),2,3,2,7
35,ベルギー,(BEL),2,2,2,6
36,タイ,(THA),2,2,2,6
37,スロバキア,(SVK),2,2,0,4
38,ジョージア,(GEO),2,1,4,7
39,アゼルバイジャン,(AZE),1,7,10,18
40,ベラルーシ,(BLR),1,4,4,9
41,トルコ,(TUR),1,3,4,8
42,アルメニア,(ARM),1,3,0,4
43,チェコ,(CZE),1,2,7,10
44,エチオピア,(ETH),1,2,5,8
45,スロベニア,(SLO),1,2,1,4
46,インドネシア,(INA),1,2,0,3
47,ルーマニア,(ROU),1,1,3,5
48,バーレーン,(BRN),1,1,0,2
49,ベトナム,(VIE),1,1,0,2
50,チャイニーズタイペイ,(TPE),1,0,2,3
51,バハマ,(BAH),1,0,1,2
52,コートジボワール,(CIV),1,0,1,2
53,独立参加,(IOA),1,0,1,2
54,フィジー,(FIJ),1,0,0,1
55,ヨルダン,(JOR),1,0,0,1
56,コソボ,(KOS),1,0,0,1
57,プエルトリコ,(PUR),1,0,0,1
58,シンガポール,(SIN),1,0,0,1
59,タジキスタン,(TJK),1,0,0,1
60,マレーシア,(MAS),0,4,1,5
61,メキシコ,(MEX),0,3,2,5
62,アルジェリア,(ALG),0,2,0,2
63,アイルランド,(IRL),0,2,0,2
64,リトアニア,(LTU),0,1,3,4
65,ブルガリア,(BUL),0,1,2,3
66,ベネズエラ,(VEN),0,1,2,3
67,インド,(IND),0,1,1,2
68,モンゴル,(MGL),0,1,1,2
69,ブルンジ,(BDI),0,1,0,1
70,グレナダ,(GRN),0,1,0,1
71,ニジェール,(NIG),0,1,0,1
72,フィリピン,(PHI),0,1,0,1
73,カタール,(QAT),0,1,0,1
74,ノルウェー,(NOR),0,0,4,4
75,エジプト,(EGY),0,0,3,3
76,チュニジア,(TUN),0,0,3,3
77,イスラエル,(ISR),0,0,2,2
78,オーストリア,(AUT),0,0,1,1
79,ドミニカ共和国,(DOM),0,0,1,1
80,エストニア,(EST),0,0,1,1
81,フィンランド,(FIN),0,0,1,1
82,モロッコ,(MAR),0,0,1,1
83,モルドバ,(MDA),0,0,1,1
84,ナイジェリア,(NGR),0,0,1,1
85,ポルトガル,(POR),0,0,1,1
86,トリニダード・トバゴ,(TTO),0,0,1,1
87,アラブ首長国連邦,(UAE),0,0,1,1
